molecule_chembl_id,target_chembl_id,canonical_smiles,standard_value,pIC50,assay_chembl_id,target_family,assay_type,compound_class,toxicity_risk,solubility_level,num_h_donors,num_h_acceptors,tpsa,num_rotatable_bonds,lipinski_compliant
CHEMBL432454,CHEMBL206,O=C1c2ccc(OCCN3CCCCC3)cc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,172.0,6.764471553092451,CHEMBL679322,Estrogen receptor alpha,B,Small Molecule,2,1,2.0,6.0,87.07000000000001,5.0,1
CHEMBL432454,CHEMBL242,O=C1c2ccc(OCCN3CCCCC3)cc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,223.0,6.651695136951839,CHEMBL678094,Estrogen receptor beta,B,Small Molecule,3,5,2.0,6.0,87.07000000000001,5.0,1
CHEMBL368676,CHEMBL244,Nc1ccc(NC(=O)c2ccc(-c3ccccc3S(N)(=O)=O)cc2)c(C(=O)Nc2ccc(Br)cn2)c1,4.6,8.337242168318426,CHEMBL661984,Coagulation factor X,B,Peptide,4,4,4.0,6.0,157.26999999999998,6.0,0
CHEMBL174335,CHEMBL244,N=C(N)c1cccc(-c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)cc2)c1,1.6,8.795880017344075,CHEMBL661984,Coagulation factor X,B,Peptide,4,1,4.0,4.0,120.96,6.0,0
CHEMBL175141,CHEMBL244,N=C(N)c1ccc(-c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)cc2)cc1,66.0,7.180456064458132,CHEMBL661984,Coagulation factor X,B,Peptide,1,3,4.0,4.0,120.96,6.0,0
CHEMBL171854,CHEMBL244,CC(=N)NCc1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,0.7,9.154901959985745,CHEMBL661984,Coagulation factor X,B,Peptide,3,3,4.0,4.0,106.97,7.0,0
CHEMBL42226,CHEMBL2414,O=C(C[C@H]1S[C@H](c2ccc(Cl)cc2Cl)N(CC(=O)NCCCN2CCOCC2)C1=O)NCc1cccc(Cl)c1,930.0,6.031517051446065,CHEMBL656318,C-C chemokine receptor type 4,B,Peptide,3,5,2.0,6.0,90.98000000000002,11.0,0
CHEMBL33051,CHEMBL220,NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1.[Cl-].[Cl-],460000.0,3.337242168318426,CHEMBL644102,Acetylcholinesterase,B,Small Molecule,2,2,2.0,4.0,92.67,6.0,1
CHEMBL42126,CHEMBL2093863,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1,1.0,9.0,CHEMBL767080,Phosphodiesterase 4,B,Small Molecule,1,3,1.0,4.0,60.45,5.0,1
CHEMBL61700,CHEMBL216,CCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(Oc4ccccc4)ccc2C1O3,1959.3,5.707899061519581,CHEMBL748282,Muscarinic acetylcholine receptor M1,B,Small Molecule,4,4,1.0,5.0,63.790000000000006,4.0,0
CHEMBL61700,CHEMBL1821,CCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(Oc4ccccc4)ccc2C1O3,2633.7,5.579433696255308,CHEMBL749766,Muscarinic acetylcholine receptor M4,B,Small Molecule,1,3,1.0,5.0,63.790000000000006,4.0,0
CHEMBL61700,CHEMBL2035,CCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(Oc4ccccc4)ccc2C1O3,2033.9,5.691670403682602,CHEMBL748448,Muscarinic acetylcholine receptor M5,B,Small Molecule,4,4,1.0,5.0,63.790000000000006,4.0,0
CHEMBL323544,CHEMBL204,CC(=O)O.N=C(N)c1ccc(C[C@H]2C(=O)O[C@H]3CCC[C@@H]32)cc1,16800.0,4.774690718274137,CHEMBL811074,Thrombin,B,Small Molecule,1,3,3.0,4.0,113.47,3.0,1
CHEMBL323544,CHEMBL209,CC(=O)O.N=C(N)c1ccc(C[C@H]2C(=O)O[C@H]3CCC[C@@H]32)cc1,220.0,6.657577319177793,CHEMBL820677,Trypsin I,B,Small Molecule,5,4,3.0,4.0,113.47,3.0,1
CHEMBL323544,CHEMBL2386,CC(=O)O.N=C(N)c1ccc(C[C@H]2C(=O)O[C@H]3CCC[C@@H]32)cc1,70300.0,4.153044674980176,CHEMBL662083,Chymotrypsin C,B,Small Molecule,3,2,3.0,4.0,113.47,3.0,1
CHEMBL6,CHEMBL230,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,49.0,7.309803919971486,CHEMBL763346,Cyclooxygenase-2,B,Small Molecule,4,5,1.0,4.0,68.53,4.0,1
CHEMBL6,CHEMBL221,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,39.0,7.4089353929735005,CHEMBL766824,Cyclooxygenase-1,B,Small Molecule,3,2,1.0,4.0,68.53,4.0,1
